epoch 100 --> d_loss:1.387 g_loss:0.697 time:18.849
epoch 101 --> d_loss:1.388 g_loss:0.695 time:14.942
epoch 102 --> d_loss:1.387 g_loss:0.690 time:16.492
epoch 103 --> d_loss:1.389 g_loss:0.694 time:17.318
epoch 104 --> d_loss:1.389 g_loss:0.695 time:19.392
epoch 105 --> d_loss:1.388 g_loss:0.691 time:19.584
epoch 106 --> d_loss:1.388 g_loss:0.698 time:18.917
epoch 107 --> d_loss:1.387 g_loss:0.693 time:18.742
epoch 108 --> d_loss:1.387 g_loss:0.694 time:19.335
epoch 109 --> d_loss:1.388 g_loss:0.700 time:17.721
epoch 110 --> d_loss:1.388 g_loss:0.693 time:18.360
epoch 111 --> d_loss:1.388 g_loss:0.693 time:14.862
epoch 112 --> d_loss:1.388 g_loss:0.699 time:16.223
epoch 113 --> d_loss:1.389 g_loss:0.705 time:17.143
epoch 114 --> d_loss:1.387 g_loss:0.695 time:16.784
epoch 115 --> d_loss:1.388 g_loss:0.696 time:17.952
epoch 116 --> d_loss:1.388 g_loss:0.688 time:18.281
epoch 117 --> d_loss:1.387 g_loss:0.695 time:18.814
epoch 118 --> d_loss:1.389 g_loss:0.697 time:17.593
epoch 119 --> d_loss:1.388 g_loss:0.697 time:18.309
epoch 120 --> d_loss:1.389 g_loss:0.692 time:20.133
epoch 121 --> d_loss:1.389 g_loss:0.690 time:15.332
epoch 122 --> d_loss:1.387 g_loss:0.695 time:16.217
epoch 123 --> d_loss:1.388 g_loss:0.693 time:17.700
epoch 124 --> d_loss:1.388 g_loss:0.692 time:18.658
epoch 125 --> d_loss:1.389 g_loss:0.694 time:17.768
epoch 126 --> d_loss:1.388 g_loss:0.695 time:19.355
epoch 127 --> d_loss:1.388 g_loss:0.691 time:18.986
epoch 128 --> d_loss:1.387 g_loss:0.691 time:17.639
epoch 129 --> d_loss:1.388 g_loss:0.692 time:19.873
epoch 130 --> d_loss:1.388 g_loss:0.696 time:19.053
epoch 131 --> d_loss:1.388 g_loss:0.699 time:14.884
epoch 132 --> d_loss:1.388 g_loss:0.699 time:16.897
epoch 133 --> d_loss:1.387 g_loss:0.688 time:17.226
epoch 134 --> d_loss:1.388 g_loss:0.694 time:18.550
epoch 135 --> d_loss:1.388 g_loss:0.696 time:18.075
epoch 136 --> d_loss:1.388 g_loss:0.698 time:18.033
epoch 137 --> d_loss:1.389 g_loss:0.690 time:19.023
epoch 138 --> d_loss:1.388 g_loss:0.695 time:19.425
epoch 139 --> d_loss:1.387 g_loss:0.693 time:20.306
epoch 140 --> d_loss:1.388 g_loss:0.695 time:18.800
epoch 141 --> d_loss:1.388 g_loss:0.697 time:14.886
epoch 142 --> d_loss:1.388 g_loss:0.692 time:16.655
epoch 143 --> d_loss:1.387 g_loss:0.694 time:17.585
epoch 144 --> d_loss:1.388 g_loss:0.693 time:18.574
epoch 145 --> d_loss:1.387 g_loss:0.701 time:19.643
epoch 146 --> d_loss:1.388 g_loss:0.695 time:18.200
epoch 147 --> d_loss:1.388 g_loss:0.691 time:18.558
epoch 148 --> d_loss:1.389 g_loss:0.699 time:17.633
epoch 149 --> d_loss:1.386 g_loss:0.697 time:19.162
epoch 150 --> d_loss:1.388 g_loss:0.695 time:17.887
epoch 151 --> d_loss:1.387 g_loss:0.695 time:15.558
epoch 152 --> d_loss:1.388 g_loss:0.691 time:16.605
epoch 153 --> d_loss:1.388 g_loss:0.698 time:17.638
epoch 154 --> d_loss:1.388 g_loss:0.690 time:19.355
epoch 155 --> d_loss:1.388 g_loss:0.694 time:17.910
epoch 156 --> d_loss:1.387 g_loss:0.699 time:17.901
epoch 157 --> d_loss:1.388 g_loss:0.694 time:18.296
epoch 158 --> d_loss:1.388 g_loss:0.695 time:17.883
epoch 159 --> d_loss:1.388 g_loss:0.692 time:17.929
epoch 160 --> d_loss:1.386 g_loss:0.695 time:18.017
epoch 161 --> d_loss:1.388 g_loss:0.691 time:14.918
